start Python
Time_data_preparation: 1.1184
General 0
exp(exp(0.435222))
((0.148270-0.646770)-(x00)**(0.188513))
(sin(-0.187363)/((-1.193145)/3.141593))
Gen 1 Tree 0: Epoch [12/100], lr:-0.0000, Loss:2400.4757, Time_for_epoch: 34.6772
Gen 1 Tree 0: Epoch [13/100], lr:-0.0000, Loss:2495.8057, Time_for_epoch: 34.6873
Gen 1 Tree 0: Epoch [14/100], lr:-0.0000, Loss:2583.4311, Time_for_epoch: 34.6845
Gen 1 Tree 0: Epoch [15/100], lr:-0.0000, Loss:2667.7446, Time_for_epoch: 34.6964
Gen 1 Tree 0: Epoch [16/100], lr:-0.0000, Loss:2743.4524, Time_for_epoch: 34.7079
Gen 1 Tree 0: Epoch [17/100], lr:-0.0000, Loss:2820.8368, Time_for_epoch: 34.7287
Gen 1 Tree 0: Epoch [18/100], lr:-0.0000, Loss:2887.4445, Time_for_epoch: 34.6478
Gen 1 Tree 0: Epoch [19/100], lr:-0.0000, Loss:2956.5557, Time_for_epoch: 34.6394
Gen 1 Tree 0: Epoch [20/100], lr:-0.0000, Loss:3021.8150, Time_for_epoch: 34.6513
Gen 1 Tree 0: Epoch [21/100], lr:-0.0000, Loss:3077.1324, Time_for_epoch: 34.6926
Gen 1 Tree 0: Epoch [22/100], lr:-0.0000, Loss:3138.7088, Time_for_epoch: 34.7026
Gen 1 Tree 0: Epoch [23/100], lr:-0.0000, Loss:3198.1708, Time_for_epoch: 34.7001
Gen 1 Tree 0: Epoch [24/100], lr:-0.0000, Loss:3244.9963, Time_for_epoch: 34.7047
Gen 1 Tree 0: Epoch [25/100], lr:-0.0000, Loss:3288.7227, Time_for_epoch: 34.7225
Gen 1 Tree 0: Epoch [26/100], lr:-0.0000, Loss:3339.7607, Time_for_epoch: 34.7427
Gen 1 Tree 0: Epoch [27/100], lr:-0.0000, Loss:3387.9264, Time_for_epoch: 34.7306
Gen 1 Tree 0: Epoch [28/100], lr:-0.0000, Loss:3433.4855, Time_for_epoch: 34.8383
Gen 1 Tree 0: Epoch [29/100], lr:-0.0000, Loss:3483.1221, Time_for_epoch: 34.8314
Gen 1 Tree 0: Epoch [30/100], lr:-0.0000, Loss:3529.8880, Time_for_epoch: 34.7619
Gen 1 Tree 0: Epoch [31/100], lr:-0.0000, Loss:3578.5329, Time_for_epoch: 34.7276
Gen 1 Tree 0: Epoch [32/100], lr:-0.0000, Loss:3621.8873, Time_for_epoch: 34.8977
Gen 1 Tree 0: Epoch [33/100], lr:-0.0000, Loss:3654.5581, Time_for_epoch: 34.9064
Gen 1 Tree 0: Epoch [34/100], lr:-0.0000, Loss:3697.1504, Time_for_epoch: 34.8993
Gen 1 Tree 0: Epoch [35/100], lr:-0.0000, Loss:3737.1852, Time_for_epoch: 34.9068
Gen 1 Tree 0: Epoch [36/100], lr:-0.0000, Loss:3781.5325, Time_for_epoch: 34.8870
Gen 1 Tree 0: Epoch [37/100], lr:-0.0000, Loss:3817.0567, Time_for_epoch: 34.7848
Gen 1 Tree 0: Epoch [38/100], lr:-0.0000, Loss:3857.0837, Time_for_epoch: 34.7976
Gen 1 Tree 0: Epoch [39/100], lr:-0.0000, Loss:3893.8984, Time_for_epoch: 35.5625
Gen 1 Tree 0: Epoch [40/100], lr:-0.0000, Loss:3928.0469, Time_for_epoch: 34.9408
Gen 1 Tree 0: Epoch [41/100], lr:-0.0000, Loss:3962.8355, Time_for_epoch: 34.8920
Gen 1 Tree 0: Epoch [42/100], lr:-0.0000, Loss:3998.3626, Time_for_epoch: 34.8375
