start Python
Time_data_preparation: 1.1905
Testing scheduler 0: StepLRMethod 0: Epoch [1/100], lr:0.0100, Loss:1.6946, Time_for_epoch: 26.6739
Method 2: Epoch [20/100], lr:0.0038, Loss:0.0848, Time_for_epoch: 38.9684
Method 2: Epoch [21/100], lr:0.0036, Loss:0.0758, Time_for_epoch: 37.7812
Method 2: Epoch [22/100], lr:0.0034, Loss:0.0587, Time_for_epoch: 45.3616
Method 2: Epoch [23/100], lr:0.0032, Loss:0.0543, Time_for_epoch: 40.7516
Method 2: Epoch [24/100], lr:0.0031, Loss:0.0469, Time_for_epoch: 44.3842
Method 2: Epoch [25/100], lr:0.0029, Loss:0.0418, Time_for_epoch: 40.9996
Method 2: Epoch [26/100], lr:0.0028, Loss:0.0374, Time_for_epoch: 37.4983
Method 2: Epoch [27/100], lr:0.0026, Loss:0.0333, Time_for_epoch: 45.5145
Method 2: Epoch [28/100], lr:0.0025, Loss:0.0259, Time_for_epoch: 40.8786
Method 2: Epoch [29/100], lr:0.0024, Loss:0.0266, Time_for_epoch: 47.0729
Method 2: Epoch [30/100], lr:0.0023, Loss:0.0222, Time_for_epoch: 39.1361
Method 2: Epoch [31/100], lr:0.0021, Loss:0.0205, Time_for_epoch: 37.6327
Method 2: Epoch [32/100], lr:0.0020, Loss:0.0154, Time_for_epoch: 37.2888
Method 2: Epoch [33/100], lr:0.0019, Loss:0.0137, Time_for_epoch: 37.3666
Method 2: Epoch [34/100], lr:0.0018, Loss:0.0157, Time_for_epoch: 37.2556
Method 2: Epoch [35/100], lr:0.0017, Loss:0.0104, Time_for_epoch: 37.4099
Method 2: Epoch [36/100], lr:0.0017, Loss:0.0126, Time_for_epoch: 38.1553
Method 2: Epoch [37/100], lr:0.0016, Loss:0.0105, Time_for_epoch: 37.9295
Method 2: Epoch [38/100], lr:0.0015, Loss:0.0083, Time_for_epoch: 38.1900
Method 2: Epoch [39/100], lr:0.0014, Loss:0.0105, Time_for_epoch: 38.4021
Method 2: Epoch [40/100], lr:0.0014, Loss:0.0077, Time_for_epoch: 38.3582
Method 2: Epoch [41/100], lr:0.0013, Loss:0.0076, Time_for_epoch: 38.1304
Method 2: Epoch [42/100], lr:0.0012, Loss:0.0054, Time_for_epoch: 37.6248
Method 2: Epoch [43/100], lr:0.0012, Loss:0.0049, Time_for_epoch: 38.7440
Method 2: Epoch [44/100], lr:0.0011, Loss:0.0036, Time_for_epoch: 37.9079
Method 2: Epoch [45/100], lr:0.0010, Loss:0.0058, Time_for_epoch: 38.0701
Method 2: Epoch [46/100], lr:0.0010, Loss:0.0043, Time_for_epoch: 37.7666
Method 2: Epoch [47/100], lr:0.0009, Loss:0.0049, Time_for_epoch: 37.3899
Method 2: Epoch [48/100], lr:0.0009, Loss:0.0037, Time_for_epoch: 37.7377
Method 2: Epoch [49/100], lr:0.0009, Loss:0.0030, Time_for_epoch: 37.1845
Method 2: Epoch [50/100], lr:0.0008, Loss:0.0028, Time_for_epoch: 37.4006
Method 2: Epoch [51/100], lr:0.0008, Loss:0.0024, Time_for_epoch: 37.3548
Method 2: Epoch [52/100], lr:0.0007, Loss:0.0025, Time_for_epoch: 37.3420
Method 2: Epoch [53/100], lr:0.0007, Loss:0.0016, Time_for_epoch: 37.1457
Method 2: Epoch [54/100], lr:0.0007, Loss:0.0013, Time_for_epoch: 37.5760
Method 2: Epoch [55/100], lr:0.0006, Loss:0.0011, Time_for_epoch: 38.8515
Method 2: Epoch [56/100], lr:0.0006, Loss:0.0006, Time_for_epoch: 38.7922
Method 2: Epoch [57/100], lr:0.0006, Loss:0.0008, Time_for_epoch: 37.7613
Method 2: Epoch [58/100], lr:0.0005, Loss:0.0012, Time_for_epoch: 37.6544
Method 2: Epoch [59/100], lr:0.0005, Loss:0.0012, Time_for_epoch: 38.8933
Method 2: Epoch [60/100], lr:0.0005, Loss:0.0014, Time_for_epoch: 37.6278
Method 2: Epoch [61/100], lr:0.0005, Loss:0.0009, Time_for_epoch: 37.5972
Method 2: Epoch [62/100], lr:0.0004, Loss:0.0007, Time_for_epoch: 38.0330
Method 2: Epoch [63/100], lr:0.0004, Loss:0.0005, Time_for_epoch: 38.0740
Method 2: Epoch [64/100], lr:0.0004, Loss:0.0004, Time_for_epoch: 38.5591
Method 2: Epoch [65/100], lr:0.0004, Loss:0.0004, Time_for_epoch: 37.6115
Method 2: Epoch [66/100], lr:0.0004, Loss:0.0006, Time_for_epoch: 37.9019
Method 2: Epoch [67/100], lr:0.0003, Loss:0.0005, Time_for_epoch: 37.4292
Method 2: Epoch [68/100], lr:0.0003, Loss:0.0007, Time_for_epoch: 38.0572
Method 2: Epoch [69/100], lr:0.0003, Loss:0.0003, Time_for_epoch: 38.2445
Method 2: Epoch [70/100], lr:0.0003, Loss:0.0003, Time_for_epoch: 38.2091
Method 2: Epoch [71/100], lr:0.0003, Loss:0.0003, Time_for_epoch: 38.1305
Method 2: Epoch [72/100], lr:0.0003, Loss:0.0004, Time_for_epoch: 37.9280
Method 2: Epoch [73/100], lr:0.0002, Loss:0.0003, Time_for_epoch: 38.9529
Method 2: Epoch [74/100], lr:0.0002, Loss:0.0002, Time_for_epoch: 38.6402
Method 2: Epoch [75/100], lr:0.0002, Loss:0.0002, Time_for_epoch: 38.6543
Method 2: Epoch [76/100], lr:0.0002, Loss:0.0002, Time_for_epoch: 37.8624
Method 2: Epoch [77/100], lr:0.0002, Loss:0.0003, Time_for_epoch: 38.3486
