start Python
Time_data_preparation: 1.1188
General 0
log((0.803732)**(1.343144))
exp(x00)**(0.268522)
Gen 1 Tree 1: Epoch [88/100], lr:0.0052, Loss:0.0283, Time_for_epoch: 34.6561
Gen 1 Tree 1: Epoch [89/100], lr:0.0052, Loss:0.0250, Time_for_epoch: 34.6587
Gen 1 Tree 1: Epoch [90/100], lr:0.0052, Loss:0.0251, Time_for_epoch: 34.6532
Gen 1 Tree 1: Epoch [91/100], lr:0.0052, Loss:0.0203, Time_for_epoch: 34.6528
Gen 1 Tree 1: Epoch [92/100], lr:0.0052, Loss:0.0270, Time_for_epoch: 34.6718
Gen 1 Tree 1: Epoch [93/100], lr:0.0052, Loss:0.0210, Time_for_epoch: 34.6710
Gen 1 Tree 1: Epoch [94/100], lr:0.0052, Loss:0.0234, Time_for_epoch: 34.6757
Gen 1 Tree 1: Epoch [95/100], lr:0.0052, Loss:0.0235, Time_for_epoch: 34.6931
Gen 1 Tree 1: Epoch [96/100], lr:0.0052, Loss:0.0159, Time_for_epoch: 34.6797
Gen 1 Tree 1: Epoch [97/100], lr:0.0052, Loss:0.0261, Time_for_epoch: 34.6693
Gen 1 Tree 1: Epoch [98/100], lr:0.0052, Loss:0.0250, Time_for_epoch: 34.7763
Gen 1 Tree 1: Epoch [99/100], lr:0.0052, Loss:0.0202, Time_for_epoch: 34.8706
Gen 1 Tree 1: Epoch [100/100], lr:0.0052, Loss:0.0150, Time_for_epoch: 34.8454
Tree 1: TestLoss: 0.8584, TestAccuracy: 0.8615, Time_for_individ: 3484.9989
Gen 1 Tree 2: Epoch [1/100], lr:0.0007, Loss:1.4436, Time_for_epoch: 34.8747
Gen 1 Tree 2: Epoch [2/100], lr:0.0007, Loss:0.9958, Time_for_epoch: 34.8665
Gen 1 Tree 2: Epoch [3/100], lr:0.0007, Loss:0.7747, Time_for_epoch: 34.8870
Gen 1 Tree 2: Epoch [4/100], lr:0.0007, Loss:0.6238, Time_for_epoch: 34.8589
Gen 1 Tree 2: Epoch [5/100], lr:0.0007, Loss:0.5167, Time_for_epoch: 34.7999
Gen 1 Tree 2: Epoch [6/100], lr:0.0007, Loss:0.4283, Time_for_epoch: 34.7693
Gen 1 Tree 2: Epoch [7/100], lr:0.0007, Loss:0.3545, Time_for_epoch: 34.7887
Gen 1 Tree 2: Epoch [8/100], lr:0.0007, Loss:0.2978, Time_for_epoch: 34.8192
Gen 1 Tree 2: Epoch [9/100], lr:0.0007, Loss:0.2426, Time_for_epoch: 34.8160
Gen 1 Tree 2: Epoch [10/100], lr:0.0007, Loss:0.2059, Time_for_epoch: 34.8256
Gen 1 Tree 2: Epoch [11/100], lr:0.0007, Loss:0.1705, Time_for_epoch: 34.7880
Gen 1 Tree 2: Epoch [12/100], lr:0.0007, Loss:0.1541, Time_for_epoch: 34.7824
Gen 1 Tree 2: Epoch [13/100], lr:0.0007, Loss:0.1382, Time_for_epoch: 34.8095
Gen 1 Tree 2: Epoch [14/100], lr:0.0007, Loss:0.1226, Time_for_epoch: 34.8014
Gen 1 Tree 2: Epoch [15/100], lr:0.0007, Loss:0.1197, Time_for_epoch: 34.8016
Gen 1 Tree 2: Epoch [16/100], lr:0.0007, Loss:0.0908, Time_for_epoch: 34.7925
Gen 1 Tree 2: Epoch [17/100], lr:0.0007, Loss:0.1089, Time_for_epoch: 34.7941
Gen 1 Tree 2: Epoch [18/100], lr:0.0007, Loss:0.0943, Time_for_epoch: 34.7998
Gen 1 Tree 2: Epoch [19/100], lr:0.0007, Loss:0.0844, Time_for_epoch: 34.8102
