start Python
Time_data_preparation: 1.0758
General 13
exp(cos(x00)-x00)
exp((0.029641*x01)-x00)
(0.615856*((x01-(-0.272221))/x00))
(0.754543*(x01)**(x00))
exp(cos(x00)-0.478629)
exp(1/(0.003709))
(log(x00)*((x01-(-0.272221))/x00))
exp(x01-log(x01, 0.402069))
exp(sin(0.823212))
exp(1/(0.130263))
exp((x01-x01))**(exp(x01))
exp(x01-x01)
exp(1/(0.823637)-x00)
((0.703275-x01)*(((x00)**((x00-x01))+(-0.891086))/x00))
exp((-0.448128)-x00)
exp(x01*0.907900)
exp((x01*x00)-(-0.436459))
((-exp(x00))/(x00*x01))
(exp(-0.242982)*(x01/1.078845))
exp(-0.274573)
exp(0.152792)
exp(x00)**((-0.018708))
exp(x00)
((x01-((-0.317296)-2.718282))/(x01+x00))
((x01-x00)*(x01)**(x00))
((x00)**((-0.798123))*(1.073440+x00))
exp(1/(x00))
exp(1/(x00)-x00)
Gen 13 Tree 1: Epoch [82/100], lr:0.0000, Loss:0.5476, Time_for_epoch: 16.8582
Gen 13 Tree 1: Epoch [83/100], lr:0.0000, Loss:0.5509, Time_for_epoch: 16.8752
Gen 13 Tree 1: Epoch [84/100], lr:0.0000, Loss:0.5504, Time_for_epoch: 16.8561
Gen 13 Tree 1: Epoch [85/100], lr:0.0000, Loss:0.5518, Time_for_epoch: 16.8702
Gen 13 Tree 1: Epoch [86/100], lr:0.0000, Loss:0.5501, Time_for_epoch: 16.8862
Gen 13 Tree 1: Epoch [87/100], lr:0.0000, Loss:0.5500, Time_for_epoch: 16.8629
Gen 13 Tree 1: Epoch [88/100], lr:0.0000, Loss:0.5486, Time_for_epoch: 16.8684
Gen 13 Tree 1: Epoch [89/100], lr:0.0000, Loss:0.5497, Time_for_epoch: 16.8715
Gen 13 Tree 1: Epoch [90/100], lr:0.0000, Loss:0.5478, Time_for_epoch: 16.8588
Gen 13 Tree 1: Epoch [91/100], lr:0.0000, Loss:0.5496, Time_for_epoch: 16.8540
Gen 13 Tree 1: Epoch [92/100], lr:0.0000, Loss:0.5495, Time_for_epoch: 16.8551
Gen 13 Tree 1: Epoch [93/100], lr:0.0000, Loss:0.5506, Time_for_epoch: 16.8555
Gen 13 Tree 1: Epoch [94/100], lr:0.0000, Loss:0.5491, Time_for_epoch: 16.8584
Gen 13 Tree 1: Epoch [95/100], lr:0.0000, Loss:0.5452, Time_for_epoch: 16.8485
Gen 13 Tree 1: Epoch [96/100], lr:0.0000, Loss:0.5497, Time_for_epoch: 16.8635
Gen 13 Tree 1: Epoch [97/100], lr:0.0000, Loss:0.5503, Time_for_epoch: 16.8586
Gen 13 Tree 1: Epoch [98/100], lr:0.0000, Loss:0.5526, Time_for_epoch: 16.8552
Gen 13 Tree 1: Epoch [99/100], lr:0.0000, Loss:0.5517, Time_for_epoch: 16.8539
Gen 13 Tree 1: Epoch [100/100], lr:0.0000, Loss:0.5522, Time_for_epoch: 16.8541
Tree 1: TestLoss: 1.0028, TestAccuracy: 0.6515, Time_for_individ: 1677.9679
Gen 13 Tree 2: Epoch [1/100], lr:0.0002, Loss:1.6263, Time_for_epoch: 16.8396
Gen 13 Tree 2: Epoch [2/100], lr:0.0001, Loss:1.2530, Time_for_epoch: 16.8535
Gen 13 Tree 2: Epoch [3/100], lr:0.0001, Loss:1.0586, Time_for_epoch: 16.8652
Gen 13 Tree 2: Epoch [4/100], lr:0.0000, Loss:0.9028, Time_for_epoch: 16.8551
Gen 13 Tree 2: Epoch [5/100], lr:0.0000, Loss:0.7726, Time_for_epoch: 16.8498
Gen 13 Tree 2: Epoch [6/100], lr:0.0000, Loss:0.6675, Time_for_epoch: 16.8620
